# M8-gate-rekey — RTX 5070 (ubu-2, pool host, $0) — 2026-05-29T19:19:37Z
# host: ubu-2  GPU: NVIDIA GeForce RTX 5070 (driver 580)  nvcc 12.0  sm_90
# source: tool/train_floor_m7/m8_gate_rekey.cu (faithful replica of the rekeyed
#   self/cuda/runtime_cuda_emit.hexa:_hx_cuda_farr_packed_gemv_offset_gpu gate +
#   _hx_k_packed_gemv_offset block-reduction kernel + cublasDgemv CUBLAS_OP_T)
# axis: M8 gate rekey cols-based -> rows-based (M7 finding: rows is the predictor)
# gate: on-device iff rows < HEXA_GEMV_CUBLAS_MIN_ROWS (default 512)
# regression? = gate chose the >3%-slower path. KEY case = rows=768,cols=64.

## DEFAULT gate (HEXA_GEMV_CUBLAS_MIN_ROWS unset -> 512) — 3 runs:
### run $i
# HEXA-TRAIN-FLOOR M8 gate-rekey verify — RTX 5070
# rekeyed gate: on-device iff rows < HEXA_GEMV_CUBLAS_MIN_ROWS (default 512)
# reps=4000 warmup=200  HX_RR_BLOCK=256
# rows | cols | gate_picks | cublas_us | ondev_us | faster_path | regression?
   16 |   64 |  ondevice |     7.293 |    5.957 |  ondevice | no
   16 |  128 |  ondevice |     7.445 |    5.975 |  ondevice | no
   16 |  256 |  ondevice |     7.848 |    6.084 |  ondevice | no
   16 |  768 |  ondevice |    10.265 |    6.483 |  ondevice | no
   64 |   64 |  ondevice |     7.763 |    6.257 |  ondevice | no
   64 |  128 |  ondevice |     7.837 |    6.294 |  ondevice | no
   64 |  256 |  ondevice |     7.902 |    6.527 |  ondevice | no
   64 |  768 |  ondevice |    10.377 |    6.841 |  ondevice | no
  256 |   64 |  ondevice |     7.291 |    7.288 |  ondevice | no
  256 |  128 |  ondevice |     7.774 |    7.349 |  ondevice | no
  256 |  256 |  ondevice |     8.445 |    7.883 |  ondevice | no
  256 |  768 |  ondevice |    10.569 |    8.397 |  ondevice | no
  768 |   64 |    cublas |     8.017 |   10.804 |    cublas | no
  768 |  128 |    cublas |     8.651 |   10.814 |    cublas | no
  768 |  256 |    cublas |     8.908 |   11.292 |    cublas | no
  768 |  768 |    cublas |    11.680 |   12.855 |    cublas | no
# ANY_REGRESSION=NO
### run $i
# HEXA-TRAIN-FLOOR M8 gate-rekey verify — RTX 5070
# rekeyed gate: on-device iff rows < HEXA_GEMV_CUBLAS_MIN_ROWS (default 512)
# reps=4000 warmup=200  HX_RR_BLOCK=256
# rows | cols | gate_picks | cublas_us | ondev_us | faster_path | regression?
   16 |   64 |  ondevice |     7.221 |    6.012 |  ondevice | no
