prog	rc	objsize	encode_miss	udf	oracle_rc	asm_diff	status
example/anima_clm_training.hexa	0	13136	0	0	0	match	CLEAN
example/anima_consciousness_step.hexa	0	18576	0	0	0	match	CLEAN
example/anima_convergence_proof.hexa	0	18568	0	0	0	match	CLEAN
example/anima_engine_ported.hexa	0	15600	0	0	0	match	CLEAN
example/anima_full_engine.hexa	0	14992	0	0	0	match	CLEAN
example/anima_gru_fused.hexa	0	13160	0	0	0	match	CLEAN
example/anima_hebbian_autograd.hexa	0	11344	0	0	0	match	CLEAN
example/anima_mega_demo.hexa	0	22136	0	0	0	match	CLEAN
example/anima_online_learner.hexa	0	11072	0	0	0	match	CLEAN
example/anima_phi_lazy.hexa	0	12288	0	0	0	match	CLEAN
example/api_test.hexa	0	25928	0	0	0	match	CLEAN
example/architecture_test.hexa	0	5056	0	0	0	match	CLEAN
example/array_sum.hexa	0	2048	0	0	0	match	CLEAN
example/arrconcat_min.hexa	0	4328	0	0	0	match	CLEAN
example/async_pipeline.hexa	0	19928	0	0	0	match	CLEAN
example/attr_inline_hot.hexa	0	2016	0	0	0	match	CLEAN
example/attr_simd.hexa	0	1488	0	0	0	match	CLEAN
example/attr_symbolic.hexa	0	1048	0	0	0	match	CLEAN
example/attr_test.hexa	0	2392	0	0	0	match	CLEAN
example/auto_record_test.hexa	0	4288	0	0	0	match	CLEAN
example/bank.hexa	0	6848	0	0	0	match	CLEAN
example/banner_test.hexa	0	9968	0	0	0	match	CLEAN
example/base_conv.hexa	0	5944	0	0	0	match	CLEAN
example/base64.hexa	0	4664	0	0	0	match	CLEAN
example/bench_call_heavy.hexa	0	1600	0	0	0	match	CLEAN
example/bench_fib_K30_vm.hexa	0	1544	0	0	0	match	CLEAN
example/bench_fib_K30.hexa	0	2112	0	0	0	match	CLEAN
example/bench_ir.hexa	0	5264	0	0	0	match	CLEAN
example/bench_loop.hexa	0	3512	0	0	0	match	CLEAN
example/bench_matrix.hexa	0	6400	0	0	0	match	CLEAN
example/bench_suite_native.hexa	0	8008	0	0	0	match	CLEAN
example/bench_suite.hexa	0	7448	0	0	0	match	CLEAN
example/benchmark_ai_native.hexa	0	15440	0	0	0	match	CLEAN
example/benchmark_all.hexa	0	10584	0	0	0	match	CLEAN
example/benchmark_gpu_beating.hexa	0	15416	0	0	0	match	CLEAN
example/benchmark.hexa	0	5808	0	0	0	match	CLEAN
example/bf.hexa	0	7480	0	0	0	match	CLEAN
example/bridge_ensure_test.hexa	0	4616	0	0	0	match	CLEAN
example/bridge_test.hexa	0	16448	0	0	0	match	CLEAN
example/bsearch.hexa	0	4984	0	0	0	match	CLEAN
example/bt_verification.hexa	0	18200	0	0	0	match	CLEAN
example/builtin_min.hexa	0	2904	0	0	0	match	CLEAN
example/calc_min.hexa	0	1688	0	0	0	match	CLEAN
example/calc.hexa	0	8592	0	0	0	match	CLEAN
example/check_project_test.hexa	0	5000	0	0	0	match	CLEAN
example/classify_test.hexa	0	5744	0	0	0	match	CLEAN
example/compound_min.hexa	0	1904	0	0	0	match	CLEAN
example/comptime_const_demo.hexa	0	5480	0	0	0	match	CLEAN
example/comptime_const.hexa	0	1272	0	0	0	match	CLEAN
example/concurrency.hexa	0	2248	0	0	0	match	CLEAN
example/config_test.hexa	0	32848	0	0	0	match	CLEAN
example/consciousness_bootstrap.hexa	0	11816	0	0	0	match	CLEAN
example/consciousness_hw.hexa	0	5576	0	0	0	match	CLEAN
example/consciousness_laws.hexa	0	4448	0	0	0	match	CLEAN
example/contract_desugar_demo.hexa	0	2240	0	0	0	match	CLEAN
example/convergence.hexa	0	18640	0	0	0	match	CLEAN
example/csv_sum.hexa	0	2808	0	0	0	match	CLEAN
example/csvql.hexa	0	8048	0	0	0	match	CLEAN
example/cycle_test.hexa	0	6992	0	0	0	match	CLEAN
example/diff.hexa	0	5472	0	0	0	match	CLEAN
example/dirstat.hexa	0	4000	0	0	0	match	CLEAN
example/discovery_engine.hexa	0	20696	0	0	0	match	CLEAN
example/dynarr_min.hexa	0	3048	0	0	0	match	CLEAN
example/egyptian_fraction.hexa	0	3480	0	0	0	match	CLEAN
example/egyptian_memory_demo.hexa	0	5896	0	0	0	match	CLEAN
example/egyptian_memory.hexa	0	22224	0	0	0	match	CLEAN
example/elseif_min.hexa	0	2160	0	0	0	match	CLEAN
example/env_parse.hexa	0	5464	0	0	0	match	CLEAN
example/event_test.hexa	0	22520	0	0	0	match	CLEAN
example/exec_min.hexa	0	3488	0	0	0	match	CLEAN
example/factorial_min.hexa	0	1784	0	0	0	match	CLEAN
example/fib_memo.hexa	0	5000	0	0	0	match	CLEAN
example/fibonacci_memo.hexa	0	7624	0	0	0	match	CLEAN
example/fibonacci.hexa	0	1960	0	0	0	match	CLEAN
example/firstlight.hexa	0	1896	0	0	0	match	CLEAN
example/fizzbuzz_min.hexa	0	2488	0	0	0	match	CLEAN
example/float_min.hexa	0	2560	0	0	0	match	CLEAN
example/fn_param_min.hexa	0	3904	0	0	0	match	CLEAN
example/forarray_min.hexa	0	2824	0	0	0	match	CLEAN
example/forge_test.hexa	0	23776	0	0	0	match	CLEAN
example/forin_min.hexa	0	2920	0	0	0	match	CLEAN
example/gate_test.hexa	0	7840	0	0	0	match	CLEAN
example/gate_thresholds_test.hexa	0	18768	0	0	0	match	CLEAN
example/gcd_lcm.hexa	0	6536	0	0	0	match	CLEAN
example/global_mut.hexa	0	2656	0	0	0	match	CLEAN
example/grading_test.hexa	0	7344	0	0	0	match	CLEAN
example/grep.hexa	0	2624	0	0	0	match	CLEAN
example/growth_tick_test.hexa	0	21184	0	0	0	match	CLEAN
example/guard_test.hexa	0	58952	0	0	0	match	CLEAN
example/hanoi.hexa	0	3944	0	0	0	match	CLEAN
example/hash_demo.hexa	0	10088	0	0	0	match	CLEAN
example/hello_min.hexa	0	1040	0	0	0	match	CLEAN
example/hello.hexa	0	2336	0	0	0	match	CLEAN
example/histogram.hexa	0	11600	0	0	0	match	CLEAN
example/http_get.hexa	0	6008	0	0	0	match	CLEAN
example/idxassign_min.hexa	0	2728	0	0	0	match	CLEAN
example/ifexpr_min.hexa	0	3192	0	0	0	match	CLEAN
example/intent_experiment.hexa	0	8040	0	0	0	match	CLEAN
example/invariant_audit_type_demo.hexa	0	1512	0	0	0	match	CLEAN
example/invariant_audit_type_neg.hexa	0	1032	0	0	0	match	CLEAN
example/invariant_ensure_type_demo.hexa	0	1136	0	0	0	match	CLEAN
example/invariant_ensure_type_neg.hexa	0	1136	0	0	0	match	CLEAN
example/invariant_I3_demo.hexa	0	1872	0	0	0	match	CLEAN
example/invariant_require_demo.hexa	0	1016	0	0	0	match	CLEAN
example/invariant_require_neg.hexa	0	1032	0	0	0	match	CLEAN
example/invariant_test.hexa	0	1800	0	0	0	match	CLEAN
example/invariant_violation_demo.hexa	0	1544	0	0	0	match	CLEAN
example/io_min.hexa	0	1968	0	0	0	match	CLEAN
example/json_field_test.hexa	0	4720	0	0	0	match	CLEAN
example/json_get.hexa	0	6032	0	0	0	match	CLEAN
example/json_pretty.hexa	0	7304	0	0	0	match	CLEAN
example/life.hexa	0	12480	0	0	0	match	CLEAN
example/main_test.hexa	0	56880	0	0	0	match	CLEAN
example/mandelbrot.hexa	0	5408	0	0	0	match	CLEAN
example/match_min.hexa	0	4520	0	0	0	match	CLEAN
example/mathlib.hexa	0	3984	0	0	0	match	CLEAN
example/matmul.hexa	0	7232	0	0	0	match	CLEAN
example/maze.hexa	0	6976	0	0	0	match	CLEAN
example/md2html.hexa	0	10920	0	0	0	match	CLEAN
