=== COMPOSITION hunt (18×18 · N=20000 · MAXARG=2000000 · exact int) ===

[A] comp(n) = k·n   (superperfect = σ∘σ, k=2)
[B] comp(n) = af(h,n) + n   (σ∘σ=σ+n ⟺ σ prime · Mersenne)
[C] comp(n) = af(h,n)   (σ∘φ=n, φ∘σ=n classical)
[D] comp1(n) = comp2(n)   (composition vs composition · low-growth subset)

======================================================================

── Frame A (=k·n): bounded=284  universal/structural=9
   [novel?]                 2^ω∘2^ω = 1·n                      sol=[2]
   [novel?]                 2^ω∘n = 1·n                        sol=[2]
   [novel?]                 2^ω∘rad = 1·n                      sol=[2]
   [novel?]                 2^ω∘sopfr = 1·n                    sol=[2]
   [novel?]                 2^ω∘σ = 1·n                        sol=[2]
   [novel?]                 2^ω∘τ = 1·n                        sol=[2]
   [novel?]                 J₂∘2^ω = 2·n                       sol=[6]
   [novel?]                 J₂∘J₂ = 16·n                       sol=[3]
   [novel?]                 J₂∘J₂ = 4·n                        sol=[2]
   [novel?]                 J₂∘core = 1·n                      sol=[48]
   [novel?]                 J₂∘core = 3·n                      sol=[16]
   [novel?]                 J₂∘n = 16·n                        sol=[24]
   [novel?]                 J₂∘n = 3·n                         sol=[4]
   [novel?]                 J₂∘n = 4·n                         sol=[6]
   [novel?]                 J₂∘n = 6·n                         sol=[8]
   [novel?]                 J₂∘rad = 1·n                       sol=[24]
   [novel?]                 J₂∘rad = 2·n                       sol=[12]
   [novel?]                 J₂∘rad = 4·n                       sol=[6]
   [novel?]                 J₂∘sopfr = 2·n                     sol=[36]
   [novel?]                 J₂∘Ω = 1·n                         sol=[8]
   [novel?]                 J₂∘σ = 12·n                        sol=[4]
   [novel?]                 J₂∘σ = 16·n                        sol=[6]
   [novel?]                 J₂∘σ₂ = 12·n                       sol=[2]
   [novel?]                 J₂∘φ = 2·n                         sol=[24]
   [novel?]                 J₂∘φ = 3·n                         sol=[16]
   [novel?]                 J₂∘φ = 6·n                         sol=[32]
   [novel?]                 J₂∘ψ = 12·n                        sol=[8]
   [novel?]                 J₂∘ψ = 16·n                        sol=[6]
   [novel?]                 J₂∘ψ = 6·n                         sol=[4]
   [novel?]                 J₃∘2^ω = 2·n                       sol=[28]
   [novel?]                 J₃∘2^ω = 4·n                       sol=[14]
   [novel?]                 J₃∘J₂ = 13·n                       sol=[2]
   [novel?]                 J₃∘core = 13·n                     sol=[54]
   [novel?]                 J₃∘core = 14·n                     sol=[2808]
   [novel?]                 J₃∘core = 16·n                     sol=[224]
   [novel?]                 J₃∘core = 6·n                      sol=[19551]
   [novel?]                 J₃∘n = 14·n                        sol=[4]
   [novel?]                 J₃∘sopfr = 10·n                    sol=[10850]
   [novel?]                 J₃∘sopfr = 12·n                    sol=[5187]
   [novel?]                 J₃∘sopfr = 13·n                    sol=[378]
   [novel?]                 J₃∘sopfr = 9·n                     sol=[2106]
   [novel?]                 J₃∘Ω = 1·n                         sol=[56]
   [novel?]                 J₃∘σ = 13·n                        sol=[2]
   [novel?]                 J₃∘τ = 12·n                        sol=[3276]
   [novel?]                 J₃∘τ = 1·n                         sol=[7]
   [novel?]                 J₃∘τ = 2·n                         sol=[3472]
   [novel?]                 J₃∘τ = 7·n                         sol=[8]
   [novel?]                 J₃∘τ = 8·n                         sol=[56]
   [novel?]                 J₃∘φ = 13·n                        sol=[14]
   [novel?]                 J₃∘φ = 7·n                         sol=[8]
   [novel?]                 J₃∘ψ = 13·n                        sol=[2]
   [novel?]                 core∘J₂ = 1·n                      sol=[8]
   [novel?]                 core∘J₃ = 16·n                     sol=[16]
   [novel?]                 core∘J₃ = 3·n                      sol=[49]
   [novel?]                 core∘J₃ = 8·n                      sol=[72]
   [novel?]                 core∘J₃ = 9·n                      sol=[27]
   [novel?]                 core∘σ₃ = 1·n                      sol=[6]
   [novel?]                 n∘2^ω = 1·n                        sol=[2]
   [novel?]                 n∘J₂ = 16·n                        sol=[24]
   [novel?]                 n∘J₂ = 3·n                         sol=[4]
   … (+224 more bounded hits)

── Frame B (=h+n): bounded=800  universal/structural=54
   [novel?]                 2^ω∘2^ω = λ + n                    sol=[3]
   [novel?]                 2^ω∘2^ω = μ + n                    sol=[3]
   [novel?]                 2^ω∘J₂ = μ² + n                    sol=[4]
   [novel?]                 2^ω∘J₃ = λ + n                     sol=[5]
   [novel?]                 2^ω∘J₃ = φ + n                     sol=[6]
   [novel?]                 2^ω∘core = λ + n                   sol=[2]
   [novel?]                 2^ω∘core = μ + n                   sol=[2]
   [novel?]                 2^ω∘n = λ + n                      sol=[3]
   [novel?]                 2^ω∘n = μ + n                      sol=[3]
   [novel?]                 2^ω∘rad = λ + n                    sol=[3]
   [novel?]                 2^ω∘rad = μ + n                    sol=[3]
   [novel?]                 2^ω∘sopfr = λ + n                  sol=[3]
   [novel?]                 2^ω∘sopfr = μ + n                  sol=[3]
   [novel?]                 2^ω∘Ω = λ + n                      sol=[2]
   [novel?]                 2^ω∘Ω = μ + n                      sol=[2]
   [novel?]                 2^ω∘μ² = λ + n                     sol=[2]
   [novel?]                 2^ω∘μ² = μ + n                     sol=[2]
   [novel?]                 2^ω∘σ₂ = 2^ω + n                   sol=[12]
   [novel?]                 2^ω∘σ₂ = core + n                  sol=[3]
   [novel?]                 2^ω∘σ₂ = Ω + n                     sol=[3]
   [novel?]                 2^ω∘σ₂ = λ + n                     sol=[5]
   [novel?]                 2^ω∘σ₂ = φ + n                     sol=[12]
   [novel?]                 2^ω∘σ₂ = ω + n                     sol=[3]
   [novel?]                 2^ω∘σ₃ = core + n                  sol=[3]
   [novel?]                 2^ω∘σ₃ = λ + n                     sol=[17]
   [novel?]                 2^ω∘σ₃ = τ + n                     sol=[24]
   [novel?]                 2^ω∘τ = λ + n                      sol=[3]
   [novel?]                 2^ω∘τ = μ + n                      sol=[3]
   [novel?]                 2^ω∘ψ = μ² + n                     sol=[4]
   [novel?]                 2^ω∘ω = λ + n                      sol=[2]
   [novel?]                 2^ω∘ω = μ + n                      sol=[2]
   [novel?]                 J₂∘2^ω = core + n                  sol=[2]
   [novel?]                 J₂∘2^ω = n + n                     sol=[6]
   [novel?]                 J₂∘2^ω = rad + n                   sol=[6]
   [novel?]                 J₂∘2^ω = μ + n                     sol=[12]
   [novel?]                 J₂∘2^ω = φ + n                     sol=[2]
   [novel?]                 J₂∘core = core + n                 sol=[8]
   [novel?]                 J₂∘core = λ + n                    sol=[2]
   [novel?]                 J₂∘core = μ² + n                   sol=[48]
   [novel?]                 J₂∘core = τ + n                    sol=[8]
   [novel?]                 J₂∘n = core + n                    sol=[2]
   [novel?]                 J₂∘n = Ω + n                       sol=[2]
   [novel?]                 J₂∘n = μ² + n                      sol=[2]
   [novel?]                 J₂∘n = φ + n                       sol=[2]
   [novel?]                 J₂∘n = ω + n                       sol=[2]
   [novel?]                 J₂∘rad = core + n                  sol=[2]
   [novel?]                 J₂∘rad = n + n                     sol=[12]
   [novel?]                 J₂∘rad = rad + n                   sol=[18]
   [novel?]                 J₂∘rad = Ω + n                     sol=[2]
   [novel?]                 J₂∘rad = μ + n                     sol=[24]
   [novel?]                 J₂∘rad = τ + n                     sol=[18]
   [novel?]                 J₂∘rad = ω + n                     sol=[2]
   [novel?]                 J₂∘sopfr = n + n                   sol=[36]
   [novel?]                 J₂∘sopfr = ψ + n                   sol=[24]
   [novel?]                 J₂∘sopfr = ω + n                   sol=[2]
   [novel?]                 J₂∘Ω = λ + n                       sol=[2]
   [novel?]                 J₂∘Ω = μ² + n                      sol=[8]
   [novel?]                 J₂∘μ² = λ + n                      sol=[2]
   [novel?]                 J₂∘μ² = μ + n                      sol=[2]
   [novel?]                 J₂∘τ = 2^ω + n                     sol=[20]
   … (+740 more bounded hits)

── Frame C (=h): bounded=892  universal/structural=959
   [novel?]                 2^ω∘2^ω = n                        sol=[2]
   [novel?]                 2^ω∘2^ω = sopfr                    sol=[2]
   [novel?]                 2^ω∘J₂ = rad                       sol=[2]
   [novel?]                 2^ω∘J₃ = 2^ω                       sol=[2]
   [novel?]                 2^ω∘J₃ = rad                       sol=[2]
   [novel?]                 2^ω∘J₃ = Ω                         sol=[16]
   [novel?]                 2^ω∘n = n                          sol=[2]
   [novel?]                 2^ω∘rad = n                        sol=[2]
   [novel?]                 2^ω∘sopfr = n                      sol=[2]
   [novel?]                 2^ω∘sopfr = sopfr                  sol=[2]
   [novel?]                 2^ω∘μ² = φ                         sol=[2]
   [novel?]                 2^ω∘σ = n                          sol=[2]
   [novel?]                 2^ω∘σ₂ = rad                       sol=[2]
   [novel?]                 2^ω∘σ₂ = σ                         sol=[3]
   [novel?]                 2^ω∘σ₂ = ψ                         sol=[3]
   [novel?]                 2^ω∘σ₃ = core                      sol=[4]
   [novel?]                 2^ω∘σ₃ = σ                         sol=[3]
   [novel?]                 2^ω∘σ₃ = ψ                         sol=[3]
   [novel?]                 2^ω∘τ = core                       sol=[4]
   [novel?]                 2^ω∘τ = n                          sol=[2]
   [novel?]                 2^ω∘τ = sopfr                      sol=[2]
   [novel?]                 2^ω∘φ = μ²                         sol=[2]
   [novel?]                 2^ω∘ψ = rad                        sol=[2]
   [novel?]                 J₂∘2^ω = J₂                        sol=[2]
   [novel?]                 J₂∘core = n                        sol=[48]
   [novel?]                 J₂∘n = σ                           sol=[2]
   [novel?]                 J₂∘n = ψ                           sol=[2]
   [novel?]                 J₂∘rad = n                         sol=[24]
   [novel?]                 J₂∘rad = σ                         sol=[2]
   [novel?]                 J₂∘sopfr = core                    sol=[17280]
   [novel?]                 J₂∘Ω = n                           sol=[8]
   [novel?]                 J₂∘Ω = rad                         sol=[9]
