==PROF== Connected to process 59597 (/tmp/rfc067_pnsight_hilbert_profile_2026_05_22/host_hilbert)
==PROF== Disconnected from process 59597
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","dram__bytes.sum","byte","574,178,816"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","dram__bytes_read.sum","","n/a"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","dram__bytes_write.sum","","n/a"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","9.02"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","gpc__cycles_elapsed.max","cycle","22,351,778"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","1.76"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","96.82"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","65.93"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.per_cycle_active","warp","31.65"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","smsp__average_warp_latency_per_inst_issued.ratio","cycle","39.99"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","smsp__cycles_active.avg.pct_of_peak_sustained_elapsed","%","99.49"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","smsp__inst_executed.sum","inst","844,464,128"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","smsp__pcsamp_warps_issue_stalled_branch_resolving","branches","2,562"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","smsp__pcsamp_warps_issue_stalled_dispatch_stall","warp","665"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","smsp__pcsamp_warps_issue_stalled_drain","warp","554"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","smsp__pcsamp_warps_issue_stalled_imc_miss","","n/a"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","smsp__pcsamp_warps_issue_stalled_lg_throttle","warp","5,756"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","smsp__pcsamp_warps_issue_stalled_long_scoreboard","warp","146,973"
"0","59597","host_hilbert","127.0.0.1","sgemm_4warp_hilbert_6144x6144_grid","1","7","(128, 1, 1)","(128, 128, 1)","0","12.0","Command line profiler metrics","smsp__pcsamp_warps_issue_stalled_membar","warp","0"
