Device: NVIDIA GeForce RTX 5070 sm_120
CUDA driver=13000 runtime=12000
[M= 192] cuBLAS SGEMM  median=0.008176 ms  std=0.001094  min=0.006912  max=0.019104  TFLOPS=  1.7314
[M= 256] cuBLAS SGEMM  median=0.008672 ms  std=0.000686  min=0.007488  max=0.010784  TFLOPS=  3.8693
[M= 320] cuBLAS SGEMM  median=0.008672 ms  std=0.000571  min=0.008384  max=0.010720  TFLOPS=  7.5572
[M= 384] cuBLAS SGEMM  median=0.010688 ms  std=0.001115  min=0.008864  max=0.017920  TFLOPS= 10.5956
[M= 448] cuBLAS SGEMM  median=0.016800 ms  std=0.001075  min=0.015072  max=0.028000  TFLOPS= 10.7042
[M= 512] cuBLAS SGEMM  median=0.016864 ms  std=0.000656  min=0.016576  max=0.020384  TFLOPS= 15.9177
[M= 576] cuBLAS SGEMM  median=0.018912 ms  std=0.000444  min=0.018656  max=0.020960  TFLOPS= 20.2097
[M= 640] cuBLAS SGEMM  median=0.035264 ms  std=0.000836  min=0.033984  max=0.045472  TFLOPS= 14.8675
[M= 704] cuBLAS SGEMM  median=0.037376 ms  std=0.000224  min=0.036608  max=0.038432  TFLOPS= 18.6705
[M= 768] cuBLAS SGEMM  median=0.039488 ms  std=0.000535  min=0.038464  max=0.043104  TFLOPS= 22.9429
[M= 832] cuBLAS SGEMM  median=0.064928 ms  std=0.000954  min=0.062848  max=0.073312  TFLOPS= 17.7406
[M= 896] cuBLAS SGEMM  median=0.071200 ms  std=0.000767  min=0.069152  max=0.079392  TFLOPS= 20.2057
[M= 960] cuBLAS SGEMM  median=0.073280 ms  std=0.000656  min=0.071264  max=0.077824  TFLOPS= 24.1467
[M=1024] cuBLAS SGEMM  median=0.096704 ms  std=0.000579  min=0.094816  max=0.098432  TFLOPS= 22.2068
[M=1088] cuBLAS SGEMM  median=0.101936 ms  std=0.000811  min=0.100384  max=0.104000  TFLOPS= 25.2691
[M=1152] cuBLAS SGEMM  median=0.107104 ms  std=0.000646  min=0.106112  max=0.111040  TFLOPS= 28.5484
[M=1280] cuBLAS SGEMM  median=0.183872 ms  std=0.000568  min=0.181952  max=0.185984  TFLOPS= 22.8110
[M=1408] cuBLAS SGEMM  median=0.202304 ms  std=0.000302  min=0.200736  max=0.203392  TFLOPS= 27.5952
[M=1536] cuBLAS SGEMM  median=0.220736 ms  std=0.000407  min=0.219744  max=0.224416  TFLOPS= 32.8345
[M=1664] cuBLAS SGEMM  median=0.301344 ms  std=0.000969  min=0.299360  max=0.302688  TFLOPS= 30.5793
[M=1792] cuBLAS SGEMM  median=0.400928 ms  std=0.000627  min=0.398624  max=0.402016  TFLOPS= 28.7063
[M=1920] cuBLAS SGEMM  median=0.445840 ms  std=0.000601  min=0.443584  max=0.447008  TFLOPS= 31.7508
[M=2048] cuBLAS SGEMM  median=0.549408 ms  std=0.000461  min=0.548256  max=0.552128  TFLOPS= 31.2698
