Generating SQLite file dutycycle.sqlite from dutycycle.nsys-rep
Processing [dutycycle.sqlite] with [/opt/nvidia/nsight-compute/2024.3.2/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

+----------+-----------------+-----------+-------------+-------------+-----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances |  Avg (ns)   |  Med (ns)   | Min (ns)  | Max (ns)  | StdDev (ns) |                                                 Name                                                 |
+----------+-----------------+-----------+-------------+-------------+-----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
|     50.2 |      3166572560 |        24 | 131940523.3 | 131917082.5 | 131448950 | 132561173 |    309170.2 | _hx_k_groupnorm_bwd_dx                                                                               |
|     40.2 |      2535068915 |        24 | 105627871.5 | 105072183.0 |  96869023 | 115307648 |   8914755.7 | _hx_k_groupnorm                                                                                      |
|      4.4 |       279405596 |        12 |  23283799.7 |  19425960.5 |  13074872 |  43565771 |   9866793.3 | _hx_k_embedding_bwd_scatter                                                                          |
|      4.1 |       259971538 |        72 |   3610715.8 |   4919577.5 |    255006 |   4940025 |   1913997.5 | _hx_k_int4_quant                                                                                     |
|      0.1 |         9370009 |        12 |    780834.1 |    779226.0 |    776346 |    790682 |      4865.0 | _hx_k_moe_router_bwd                                                                                 |
|      0.1 |         9339286 |        36 |    259424.6 |    260238.0 |    248830 |    274334 |      6289.0 | sm90_xmma_gemm_f64f64_f64f64_f64_nn_n_tilesize64x64x16_stage4_warpsize2x2x1_tensor16x8x8_execute_ke… |
|      0.1 |         8776668 |        12 |    731389.0 |    663931.5 |    608539 |    998840 |    129946.5 | _hx_k_moe_router                                                                                     |
|      0.1 |         7470087 |       204 |     36618.1 |      2944.0 |      2336 |    145119 |     58947.3 | _hx_k_adamw_step_inplace                                                                             |
|      0.1 |         6727750 |        48 |    140161.5 |    140223.0 |    136063 |    144286 |      3113.9 | sm90_xmma_gemm_f64f64_f64f64_f64_nn_n_tilesize128x64x16_stage3_warpsize2x2x1_tensor16x8x8_execute_k… |
|      0.1 |         4702231 |        24 |    195926.3 |    195918.5 |    194846 |    197054 |       617.0 | _hx_k_groupnorm_bwd_affine                                                                           |
|      0.1 |         3589922 |        36 |     99720.1 |    142686.0 |     11712 |    147615 |     62983.2 | sm90_xmma_gemm_f64f64_f64f64_f64_nn_n_tilesize32x64x32_stage3_warpsize2x2x1_tensor16x8x16_execute_k… |
|      0.1 |         3439489 |        72 |     47770.7 |     59951.5 |     21600 |     61152 |     17835.5 | _hx_k_db_colsum                                                                                      |
|      0.0 |         2739948 |        72 |     38054.8 |     53760.0 |      2080 |     58879 |     24374.5 | _hx_k_int4_quant_bwd                                                                                 |
|      0.0 |         1239159 |        12 |    103263.3 |    103375.5 |    102399 |    104319 |       680.2 | _hx_k_ce_grad                                                                                        |
|      0.0 |          850396 |        48 |     17716.6 |     17616.5 |      9760 |     25824 |      7283.5 | _hx_k_im2col_t                                                                                       |
|      0.0 |          564600 |        48 |     11762.5 |     12511.5 |      7808 |     14880 |      2828.1 | _hx_k_col2im                                                                                         |
|      0.0 |          528407 |        48 |     11008.5 |     10368.0 |      6464 |     17216 |      4526.0 | _hx_k_im2col                                                                                         |
|      0.0 |          333022 |        36 |      9250.6 |      9152.0 |      8896 |      9920 |       291.7 | _hx_k_gelu_bwd                                                                                       |
|      0.0 |          307072 |        36 |      8529.8 |      6560.0 |      5024 |     14145 |      3922.8 | sm90_xmma_gemm_f64f64_f64f64_f64_nn_n_tilesize32x32x32_stage5_warpsize2x2x1_tensor16x8x16_execute_k… |
|      0.0 |          242465 |        36 |      6735.1 |      6624.5 |      6304 |      7424 |       285.2 | _hx_k_gelu                                                                                           |
|      0.0 |          155135 |        12 |     12927.9 |     12944.0 |     12640 |     13088 |       131.6 | sm90_xmma_gemm_f64f64_f64f64_f64_nn_n_tilesize32x32x32_stage3_warpsize2x2x1_tensor16x8x8_execute_ke… |
|      0.0 |          132927 |        12 |     11077.3 |     11008.0 |     10752 |     11424 |       189.8 | _hx_k_grad_sum3                                                                                      |
|      0.0 |          110720 |        12 |      9226.7 |      8992.0 |      8703 |     10048 |       507.8 | _hx_k_expert_unpack2                                                                                 |
|      0.0 |          110465 |        12 |      9205.4 |      9120.0 |      8960 |      9664 |       214.9 | _hx_k_grad_sum2                                                                                      |
|      0.0 |           88895 |        12 |      7407.9 |      7456.0 |      6976 |      7872 |       317.6 | _hx_k_expert_pack2                                                                                   |
|      0.0 |           83359 |        12 |      6946.6 |      6880.0 |      6656 |      7200 |       175.9 | _hx_k_residual_add                                                                                   |
|      0.0 |           74080 |        12 |      6173.3 |      6144.0 |      5824 |      6592 |       243.1 | _hx_k_embedding                                                                                      |
|      0.0 |           50465 |        12 |      4205.4 |      4192.5 |      4192 |      4224 |        16.4 | sm90_xmma_gemm_f64f64_f64f64_f64_nn_n_tilesize32x32x32_stage5_warpsize2x2x1_tensor16x8x16_execute_s… |
+----------+-----------------+-----------+-------------+-------------+-----------+-----------+-------------+------------------------------------------------------------------------------------------------------+

